Time,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate
0 days 00:17:21.314000,0 days 00:02:09.098000,1.0,1.0,0 days 00:15:18.707000,,MEDIUM,1.0,True,0 days 00:15:18.707000,2025-03-14 01:30:46.716
0 days 00:18:42.827000,0 days 00:01:21.513000,2.0,1.0,,,MEDIUM,2.0,True,0 days 00:17:21.314000,2025-03-14 01:32:49.323
0 days 00:20:48.180000,0 days 00:02:05.353000,3.0,1.0,,,MEDIUM,3.0,True,0 days 00:18:42.827000,2025-03-14 01:34:10.836
0 days 00:22:07.544000,0 days 00:01:19.364000,4.0,1.0,,,MEDIUM,4.0,True,0 days 00:20:48.180000,2025-03-14 01:36:16.189
0 days 00:24:53.254000,,5.0,1.0,,0 days 00:24:30.714000,MEDIUM,5.0,True,0 days 00:22:07.544000,2025-03-14 01:37:35.553
0 days 00:26:55.844000,0 days 00:02:02.590000,6.0,2.0,0 days 00:24:55.310000,,MEDIUM,6.0,False,0 days 00:24:53.254000,2025-03-14 01:40:21.263
0 days 00:28:14.412000,0 days 00:01:18.568000,7.0,2.0,,,MEDIUM,7.0,False,0 days 00:26:55.844000,2025-03-14 01:42:23.853
0 days 00:39:50.570000,,8.0,2.0,,0 days 00:30:20.866000,MEDIUM,8.0,False,0 days 00:28:14.412000,2025-03-14 01:43:42.421
0 days 00:41:37.055000,0 days 00:01:46.485000,9.0,3.0,0 days 00:39:53.580000,,MEDIUM,9.0,False,0 days 00:39:53.580000,2025-03-14 01:55:21.589
0 days 00:42:58.486000,0 days 00:01:21.431000,10.0,3.0,,,MEDIUM,10.0,False,0 days 00:41:37.055000,2025-03-14 01:57:05.064
0 days 00:44:19.274000,0 days 00:01:20.788000,11.0,3.0,,,MEDIUM,11.0,False,0 days 00:42:58.486000,2025-03-14 01:58:26.495
0 days 00:45:39.786000,0 days 00:01:20.512000,12.0,3.0,,,MEDIUM,12.0,False,0 days 00:44:19.274000,2025-03-14 01:59:47.283
0 days 00:51:44.183000,,13.0,3.0,,0 days 00:47:08.945000,MEDIUM,13.0,False,0 days 00:45:39.786000,2025-03-14 02:01:07.795
0 days 01:03:06.922000,,14.0,4.0,0 days 00:51:44.183000,0 days 00:54:09.612000,MEDIUM,14.0,False,0 days 00:51:44.183000,2025-03-14 02:07:12.192
0 days 01:05:20.165000,0 days 00:02:13.243000,15.0,5.0,0 days 01:03:42.099000,,MEDIUM,15.0,False,0 days 01:03:42.099000,2025-03-14 02:19:10.108
0 days 01:06:42.920000,0 days 00:01:22.755000,16.0,5.0,,,MEDIUM,16.0,False,0 days 01:05:20.165000,2025-03-14 02:20:48.174
0 days 01:08:03.154000,0 days 00:01:20.234000,17.0,5.0,,,MEDIUM,17.0,False,0 days 01:06:42.920000,2025-03-14 02:22:10.929
0 days 01:10:06.694000,0 days 00:02:03.540000,18.0,5.0,,0 days 01:09:30.556000,MEDIUM,18.0,False,0 days 01:08:03.154000,2025-03-14 02:23:31.163
0 days 01:12:16.977000,0 days 00:02:10.283000,19.0,6.0,0 days 01:10:08.869000,,SOFT,1.0,True,0 days 01:10:06.694000,2025-03-14 02:25:34.703
0 days 01:13:35.038000,0 days 00:01:18.061000,20.0,6.0,,,SOFT,2.0,True,0 days 01:12:16.977000,2025-03-14 02:27:44.986
0 days 01:15:16.813000,0 days 00:01:41.775000,21.0,6.0,,,SOFT,3.0,True,0 days 01:13:35.038000,2025-03-14 02:29:03.047
0 days 01:18:05.956000,,22.0,6.0,,,SOFT,4.0,True,0 days 01:15:16.813000,2025-03-14 02:30:44.822
0 days 01:19:35.804000,,23.0,6.0,,0 days 01:19:35.804000,SOFT,5.0,True,0 days 01:18:05.956000,2025-03-14 02:33:33.965
