Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2025-03-14 02:33:33.965,0 days 01:18:05.956000,,684.4449999999998,0 days 00:00:00,11539.412853175561,149.9909215769138,2,100.0,False,8,interpolation,2.3629769684566946,0.0004753333666983389,OnTrack,-1190.4859405890643,-1338.1553494809855,85.36990477786064
2025-03-14 02:33:34.071,0 days 01:18:06.062000,,684.4449999999998,0 days 00:00:00.106000,11425.0,156.0,3,100.0,False,8,car,6.919722222222225,0.0013919623019662474,OnTrack,-1218.1473494767743,-1311.812247869725,85.01365869250225
2025-03-14 02:33:34.074,0 days 01:18:06.065000,,684.4449999999998,0 days 00:00:00.109000,11429.584610381038,156.0,3,100.0,False,8,pos,7.048341541158795,0.0014178351965008467,OnTrack,-1219.0,-1311.0,85.0
2025-03-14 02:33:34.230,0 days 01:18:06.221000,14,684.4449999999998,0 days 00:00:00.265000,11668.0,156.0,3,100.0,False,8,car,13.809722222222227,0.0027779457204548993,OnTrack,-1267.8467148581294,-1264.4646157303691,84.12986624906793
2025-03-14 02:33:34.274,0 days 01:18:06.265000,14,685.7283263768087,0 days 00:00:00.309000,11720.745055699897,159.552775772532,3,100.0,False,8,pos,15.818885311064697,0.0031821063483467873,OnTrack,-1282.0,-1251.0,84.0
2025-03-14 02:33:34.391,0 days 01:18:06.382000,14,689.1408333333331,0 days 00:00:00.426000,11861.0,169.0,3,100.0,False,8,car,21.367777777777782,0.0042983143236502595,OnTrack,-1320.5216629600027,-1214.4045604830094,84.00101389097807
2025-03-14 02:33:34.395,0 days 01:18:06.386000,14,689.2530555555554,0 days 00:00:00.430000,11841.916666666666,169.13333333333333,3,100.0,False,8,pos,21.55996203269613,0.0043369738578464025,OnTrack,-1322.0,-1213.0,84.0
2025-03-14 02:33:34.631,0 days 01:18:06.622000,14,695.8741666666664,0 days 00:00:00.666000,10716.0,177.0,3,100.0,False,8,car,33.167777777777786,0.006671986941671463,OnTrack,-1429.738133218182,-1110.576866918245,83.35195803247052
2025-03-14 02:33:34.715,0 days 01:18:06.706000,14,698.0441666666663,0 days 00:00:00.750000,10942.8,180.3,3,100.0,False,8,pos,37.46321095149828,0.00753605067955284,OnTrack,-1463.0,-1079.0,83.0
2025-03-14 02:33:34.911,0 days 01:18:06.902000,14,703.1074999999997,0 days 00:00:00.946000,11472.0,188.0,4,100.0,False,8,car,47.790000000000006,0.00961337410298587,OnTrack,-1514.8362436939944,-1029.962770469905,82.16976888304688
2025-03-14 02:33:34.995,0 days 01:18:06.986000,14,705.1374997040544,0 days 00:00:01.030000,11303.23464874939,190.10478329224117,4,100.0,False,8,pos,52.30843148282098,0.010522295890034776,OnTrack,-1539.0,-1007.0,82.0
2025-03-14 02:33:35.215,0 days 01:18:07.206000,14,710.4541655956264,0 days 00:00:01.250000,10861.230157378746,195.61731096239657,4,100.0,False,8,pos,64.40481651682389,0.012955588935141064,OnTrack,-1625.0,-925.0,82.0
2025-03-14 02:33:35.350,0 days 01:18:07.341000,14,713.7166666666665,0 days 00:00:01.385000,10590.0,199.0,4,100.0,False,8,car,72.05694444444445,0.014494881014072272,OnTrack,-1680.0385760569907,-872.9954165113417,81.27920835540633
2025-03-14 02:33:35.394,0 days 01:18:07.385000,14,714.6455503363089,0 days 00:00:01.429000,10631.258335154309,200.64485057093594,4,100.0,False,8,pos,74.59107064704857,0.015004642537608836,OnTrack,-1698.0,-856.0,81.0
2025-03-14 02:33:35.595,0 days 01:18:07.586000,14,718.8888885689994,0 days 00:00:01.630000,10819.735188283652,208.15887793821867,4,100.0,False,8,pos,86.38327802135704,0.017376747601204067,OnTrack,-1781.0,-777.0,80.0
2025-03-14 02:33:35.671,0 days 01:18:07.662000,14,720.4933333333331,0 days 00:00:01.706000,10891.0,211.0,5,100.0,False,8,car,90.87111111111112,0.0182795142553904,OnTrack,-1813.0080872169244,-746.4856106895091,79.95484687747279
2025-03-14 02:33:35.795,0 days 01:18:07.786000,14,723.0422222222219,0 days 00:00:01.830000,10985.55,213.325,5,100.0,False,8,pos,98.21491745695236,0.0197567847668458,OnTrack,-1866.0,-696.0,80.0
2025-03-14 02:33:35.831,0 days 01:18:07.822000,14,723.7822222222219,0 days 00:00:01.866000,11013.0,214.0,5,100.0,False,8,car,100.38222222222224,0.02019275696822105,OnTrack,-1881.5485779140008,-681.2070138093342,79.9267834767158
2025-03-14 02:33:36.035,0 days 01:18:08.026000,14,727.2388882726584,0 days 00:00:02.070000,11348.264564186818,221.38718531259093,5,100.0,False,8,pos,113.09682534873822,0.02275040995893442,OnTrack,-1971.0,-596.0,79.0
2025-03-14 02:33:36.190,0 days 01:18:08.181000,14,729.8652777777775,0 days 00:00:02.225000,11603.0,227.0,5,100.0,False,8,car,123.01916666666668,0.024746375204106216,OnTrack,-2040.3895281263171,-529.133360694445,78.35328361119494
2025-03-14 02:33:36.395,0 days 01:18:08.386000,14,733.1680551829418,0 days 00:00:02.430000,11848.872246404435,230.83177526864054,5,100.0,False,8,pos,136.24502074941174,0.02740687077072958,OnTrack,-2135.0,-439.0,78.0
2025-03-14 02:33:36.454,0 days 01:18:08.445000,14,734.1186119591275,0 days 00:00:02.489000,11919.635577148527,231.9345804230939,5,100.0,False,8,pos,140.0782678501255,0.028177961760651068,OnTrack,-2163.0,-413.0,78.0
2025-03-14 02:33:36.511,0 days 01:18:08.502000,14,735.0369444444441,0 days 00:00:02.546000,11988.0,233.0,5,100.0,False,8,car,143.795,0.028925614754945657,OnTrack,-2189.8558195068335,-387.68285755403093,77.53877511404527
2025-03-14 02:33:36.635,0 days 01:18:08.626000,14,736.9313888888885,0 days 00:00:02.670000,11749.92,235.48,5,100.0,False,8,pos,151.9273446500041,0.030561506603761418,OnTrack,-2248.0,-332.0,76.0
2025-03-14 02:33:36.711,0 days 01:18:08.702000,14,738.0924999999996,0 days 00:00:02.746000,11604.0,237.0,5,100.0,False,8,car,156.96166666666667,0.031574204258104914,OnTrack,-2284.1699783679783,-297.63619313504967,76.1140736886712
2025-03-14 02:33:36.835,0 days 01:18:08.826000,14,739.8147225655933,0 days 00:00:02.870000,11367.588737911774,239.70405038336207,5,100.0,False,8,pos,165.2781651811452,0.03324714025824319,OnTrack,-2344.0,-241.0,77.0
2025-03-14 02:33:37.032,0 days 01:18:09.023000,14,742.550833333333,0 days 00:00:03.067000,10992.0,244.0,6,100.0,False,8,car,178.71833333333336,0.035950746963705024,OnTrack,-2440.2778050660036,-149.2285825949679,76.13649526335753
2025-03-14 02:33:37.054,0 days 01:18:09.045000,14,742.8136125931533,0 days 00:00:03.089000,11006.033505331074,244.4289717786791,6,100.0,False,8,pos,180.2330533258457,0.03625544606287416,OnTrack,-2451.0,-139.0,76.0
